iter	Passed	Remaining
491	1199	1238
492	1201	1235
493	1203	1233
494	1206	1230
495	1208	1228
496	1211	1226
497	1213	1223
498	1216	1221
499	1219	1219
500	1221	1216
501	1224	1214
502	1227	1212
503	1230	1210
504	1232	1208
505	1234	1205
506	1236	1202
507	1239	1200
508	1242	1198
509	1245	1196
510	1248	1194
511	1251	1192
512	1254	1190
513	1256	1187
514	1258	1185
515	1260	1182
516	1263	1180
517	1265	1177
518	1268	1175
519	1270	1172
520	1272	1170
521	1274	1167
522	1277	1165
523	1279	1162
524	1282	1160
525	1285	1158
526	1287	1155
527	1290	1153
528	1292	1150
529	1294	1147
530	1296	1145
531	1298	1142
532	1301	1139
533	1303	1137
534	1305	1134
535	1308	1132
536	1311	1131
537	1314	1129
538	1317	1126
539	1319	1124
540	1322	1121
541	1324	1119
542	1327	1117
543	1329	1114
544	1332	1112
545	1334	1110
546	1338	1108
547	1341	1106
548	1344	1104
549	1347	1102
550	1350	1100
551	1352	1097
552	1355	1095
553	1357	1092
554	1360	1090
555	1363	1088
556	1365	1086
557	1368	1083
558	1370	1081
559	1373	1079
560	1377	1078
561	1380	1075
562	1382	1073
563	1385	1070
564	1387	1068
565	1390	1066
566	1392	1063
567	1395	1061
568	1398	1059
569	1401	1056
570	1403	1054
571	1406	1052
572	1408	1049
573	1410	1047
574	1413	1044
575	1416	1042
576	1418	1039
577	1420	1037
578	1422	1034
579	1425	1032
580	1428	1029
581	1430	1027
582	1433	1025
583	1436	1023
584	1439	1020
585	1442	1018
586	1445	1016
587	1447	1014
588	1450	1012
589	1452	1009
590	1455	1007
591	1458	1005
592	1461	1002
593	1464	1000
594	1467	998
595	1470	996
596	1473	994
597	1476	992
598	1479	990
599	1481	987
600	1484	985
601	1487	983
602	1490	981
603	1493	978
604	1496	976
605	1499	974
606	1502	972
607	1504	970
608	1507	967
609	1509	965
610	1511	962
611	1514	959
612	1516	957
613	1519	955
614	1522	952
615	1524	950
616	1527	948
617	1529	945
618	1532	943
619	1534	940
620	1536	938
621	1539	935
622	1541	932
623	1544	930
624	1547	928
625	1550	926
626	1551	923
627	1554	920
628	1555	917
629	1558	915
630	1560	912
631	1562	910
632	1564	907
633	1566	904
634	1568	901
635	1570	898
636	1571	895
637	1573	892
638	1575	890
639	1577	887
640	1579	884
641	1581	882
642	1584	879
643	1586	877
644	1588	874
645	1591	871
646	1593	869
647	1594	866
648	1596	863
649	1598	860
650	1600	857
651	1601	855
652	1603	852
653	1605	849
654	1607	846
655	1609	844
656	1611	841
657	1613	838
658	1615	835
659	1617	833
660	1619	830
661	1622	828
662	1625	826
663	1627	823
664	1630	821
665	1633	819
666	1636	816
667	1638	814
668	1640	811
669	1642	809
670	1645	806
671	1647	804
672	1649	801
673	1652	799
674	1654	796
675	1656	793
676	1659	791
677	1661	789
678	1663	786
679	1666	784
680	1668	781
681	1671	779
682	1673	776
683	1676	774
684	1678	771
685	1681	769
686	1683	767
687	1685	764
688	1688	762
689	1690	759
690	1693	757
691	1696	754
692	1698	752
693	1701	750
694	1704	747
695	1706	745
696	1708	742
697	1711	740
698	1713	737
699	1716	735
700	1718	732
701	1721	730
702	1723	728
703	1727	726
704	1730	724
705	1732	721
706	1735	719
707	1738	716
708	1740	714
709	1743	712
710	1745	709
711	1748	707
712	1751	705
713	1754	702
714	1756	700
715	1760	698
716	1763	695
717	1766	693
718	1769	691
719	1772	689
720	1774	686
721	1777	684
722	1779	681
723	1781	679
724	1784	676
725	1787	674
726	1790	672
727	1793	669
728	1795	667
729	1798	665
730	1800	662
731	1803	660
732	1806	657
733	1808	655
734	1811	653
735	1813	650
736	1816	648
737	1819	645
738	1822	643
739	1825	641
740	1827	638
741	1829	636
742	1832	633
743	1834	631
744	1836	628
745	1839	626
746	1842	624
747	1845	621
748	1848	619
749	1851	617
750	1854	614
751	1857	612
752	1860	610
753	1863	607
754	1866	605
755	1868	603
756	1871	600
757	1875	598
758	1878	596
759	1882	594
760	1885	592
761	1887	589
762	1890	587
763	1892	584
764	1895	582
765	1898	579
766	1900	577
767	1902	574
768	1904	572
769	1907	569
770	1909	567
771	1911	564
772	1913	561
773	1915	559
774	1917	556
775	1919	554
776	1921	551
777	1923	548
778	1926	546
779	1928	543
780	1930	541
781	1931	538
782	1933	535
783	1935	533
784	1937	530
785	1939	528
786	1941	525
787	1943	522
788	1945	520
789	1947	517
790	1948	514
791	1950	512
792	1952	509
793	1954	507
794	1955	504
795	1957	501
796	1959	499
797	1961	496
798	1963	493
799	1965	491
800	1967	488
801	1968	486
802	1970	483
803	1973	481
804	1975	478
805	1977	476
806	1979	473
807	1981	470
808	1982	468
809	1984	465
810	1986	462
811	1988	460
812	1990	457
813	1992	455
814	1994	452
815	1996	450
816	1997	447
817	1999	444
818	2000	442
819	2002	439
820	2004	437
821	2006	434
822	2007	431
823	2009	429
824	2011	426
825	2013	424
826	2014	421
827	2016	418
828	2018	416
829	2020	413
830	2021	411
831	2023	408
832	2025	406
833	2027	403
834	2028	400
835	2030	398
836	2032	395
837	2033	393
838	2035	390
839	2037	388
840	2038	385
841	2040	382
842	2042	380
843	2043	377
844	2045	375
845	2047	372
846	2048	370
847	2050	367
848	2051	364
849	2053	362
850	2055	359
851	2057	357
852	2058	354
853	2060	352
854	2062	349
855	2063	347
856	2065	344
857	2067	342
858	2069	339
859	2070	337
860	2072	334
861	2074	332
862	2076	329
863	2078	327
864	2079	324
865	2081	322
866	2083	319
867	2085	317
868	2087	314
869	2088	312
870	2090	309
871	2092	307
872	2093	304
873	2095	302
874	2096	299
875	2098	297
876	2100	294
877	2101	292
878	2103	289
879	2105	287
880	2106	284
881	2108	282
882	2110	279
883	2112	277
884	2114	274
885	2116	272
886	2118	269
887	2121	267
888	2123	265
889	2124	262
890	2126	260
891	2128	257
892	2130	255
893	2132	252
894	2134	250
895	2135	247
896	2137	245
897	2139	243
898	2141	240
899	2142	238
900	2144	235
901	2147	233
902	2149	230
903	2150	228
904	2152	225
905	2154	223
906	2156	221
907	2158	218
908	2160	216
909	2162	213
910	2164	211
911	2166	209
912	2168	206
913	2170	204
914	2172	201
915	2174	199
916	2177	197
917	2179	194
918	2180	192
919	2182	189
920	2184	187
921	2186	184
922	2188	182
923	2190	180
924	2192	177
925	2194	175
926	2196	172
927	2198	170
928	2200	168
929	2202	165
930	2204	163
931	2206	161
932	2208	158
933	2210	156
934	2212	153
935	2215	151
936	2217	149
937	2219	146
938	2221	144
939	2223	141
940	2225	139
941	2227	137
942	2229	134
943	2231	132
944	2233	129
945	2236	127
946	2238	125
947	2240	122
948	2243	120
949	2245	118
950	2247	115
951	2250	113
952	2252	111
953	2255	108
954	2258	106
955	2260	104
956	2263	101
957	2265	99
958	2267	96
959	2269	94
960	2271	92
961	2274	89
962	2276	87
963	2278	85
964	2280	82
965	2283	80
966	2286	78
967	2288	75
968	2291	73
969	2293	70
970	2295	68
971	2298	66
972	2301	63
973	2304	61
974	2308	59
975	2311	56
976	2313	54
977	2316	52
978	2318	49
979	2319	47
980	2321	44
981	2323	42
982	2326	40
983	2328	37
984	2330	35
985	2332	33
986	2334	30
987	2336	28
988	2338	26
989	2339	23
990	2341	21
991	2343	18
992	2345	16
993	2348	14
994	2350	11
995	2352	9
996	2353	7
997	2356	4
998	2358	2
999	2359	0
