iter	Passed	Remaining
152	236	1306
153	236	1300
154	237	1294
155	238	1287
156	238	1281
157	239	1275
158	240	1269
159	240	1263
160	241	1256
161	241	1250
162	242	1243
163	242	1237
164	243	1231
165	244	1225
166	244	1219
167	245	1214
168	245	1208
169	246	1203
170	247	1197
171	247	1192
172	248	1186
173	248	1180
174	249	1175
175	250	1170
176	250	1165
177	251	1160
178	251	1155
179	252	1150
180	253	1145
181	253	1140
182	254	1135
183	254	1130
184	255	1126
185	256	1121
186	256	1117
187	257	1112
188	258	1107
189	258	1102
190	259	1097
191	259	1092
192	260	1088
193	260	1083
194	261	1079
195	262	1075
196	262	1071
197	263	1066
198	263	1062
199	264	1058
200	265	1053
201	265	1049
202	266	1045
203	266	1040
204	267	1036
205	267	1032
206	268	1028
207	269	1024
208	269	1020
209	270	1016
210	270	1013
211	271	1009
212	272	1005
213	272	1001
214	273	997
215	273	993
216	274	989
217	274	985
218	275	982
219	275	978
220	276	975
221	277	971
222	277	967
223	278	964
224	278	960
225	279	956
226	280	953
227	280	949
228	281	946
229	281	943
230	282	939
231	282	936
232	283	932
233	284	929
234	284	926
235	285	923
236	285	919
237	286	916
238	286	913
239	287	909
240	287	906
241	288	903
242	289	900
243	289	897
244	290	894
245	290	890
246	291	887
247	291	885
248	292	882
249	293	879
250	293	877
251	294	874
252	295	871
253	295	868
254	296	865
255	296	862
256	297	860
257	298	857
258	298	854
259	299	852
260	299	849
261	300	846
262	300	843
263	301	840
264	302	837
265	302	835
266	303	832
267	303	829
268	304	826
269	304	824
270	305	821
271	306	819
272	306	817
273	307	814
274	308	812
275	308	809
276	309	807
277	309	804
278	310	802
279	311	799
280	311	797
281	312	795
282	312	792
283	313	790
284	314	788
285	314	786
286	315	783
287	315	781
288	316	778
289	317	776
290	317	774
291	318	771
292	318	769
293	319	767
294	320	765
295	320	763
296	321	761
297	322	758
298	322	756
299	323	754
300	323	751
301	324	749
302	324	747
303	325	745
304	326	743
305	326	741
306	327	739
307	328	737
308	328	735
309	329	733
310	329	730
311	330	728
312	331	726
313	331	724
314	332	722
315	332	720
316	333	718
317	334	716
318	334	714
319	335	712
320	336	710
321	336	709
322	337	707
323	338	705
324	339	704
325	339	702
326	340	700
327	341	699
328	342	697
329	343	696
330	344	695
331	345	694
332	346	693
333	346	691
334	347	689
335	347	687
336	348	685
337	349	683
338	349	681
339	350	679
340	350	678
341	351	676
342	352	674
343	352	672
344	353	670
345	353	668
346	354	667
347	355	665
348	355	663
349	356	661
350	356	660
351	357	658
352	358	656
353	358	654
354	359	652
355	359	650
356	360	649
357	360	647
358	361	645
359	362	643
360	362	642
361	363	640
362	364	638
363	364	637
364	365	636
365	366	634
366	367	633
367	367	631
368	368	630
369	369	628
370	370	627
371	370	626
372	371	624
373	372	622
374	372	621
375	373	619
376	374	618
377	374	616
378	375	615
379	375	613
380	376	611
381	377	610
382	377	608
383	378	607
384	379	605
385	379	604
386	380	602
387	381	601
388	381	599
389	382	598
390	383	596
391	383	595
392	384	593
393	385	592
394	385	590
395	386	589
396	386	587
397	387	586
398	388	584
399	388	583
400	389	582
401	390	580
402	390	579
403	391	577
404	392	576
405	392	574
406	393	572
407	393	571
408	394	569
409	395	568
410	395	567
411	396	565
412	397	564
413	397	563
414	398	561
415	399	560
416	399	558
417	400	557
418	400	555
419	401	554
420	401	552
421	402	551
422	403	550
423	404	548
424	404	547
425	405	546
426	405	544
427	406	543
428	407	541
429	407	540
430	408	539
431	408	537
432	409	536
433	410	534
434	410	533
435	411	531
436	411	530
437	412	529
438	412	527
439	413	526
440	414	524
441	414	523
442	415	522
443	415	520
444	416	519
445	417	518
446	417	516
447	418	515
448	418	514
449	419	512
450	420	511
451	420	510
452	421	508
453	421	507
454	422	505
455	422	504
456	423	503
457	424	502
458	424	500
459	425	499
460	426	498
461	426	497
462	427	495
463	428	494
464	428	493
465	429	491
466	429	490
467	430	489
468	431	487
469	431	486
470	432	485
471	432	484
472	433	482
473	433	481
474	434	480
475	435	478
476	435	477
477	436	476
478	436	475
479	437	473
480	437	472
481	438	471
482	439	469
483	439	468
484	440	467
485	441	466
486	441	465
487	442	464
488	443	463
489	443	461
490	444	460
491	444	459
492	445	458
493	446	456
494	446	455
